per capita income,median household income,median family income,population,number of households,state_nums
23885,41556,55295,439511,178101,34
24753,38501,61671,23989,10495,45
28212,53237,60909,7110,3010,49
24063,42429,54167,1363,578,42
23435,47876,58656,19001,7511,24
26335,45512,62596,8701,3642,49
31933,58434,75766,339279,132975,1
36142,60526,76311,215449,95398,20
25186,42987,53015,211968,91349,2
20526,37749,46486,201081,72281,10
12055,25321,30840,7674,2488,17
20701,41250,52092,43744,16232,1
21769,30325,47297,6977,3018,45
22308,41184,52423,1804507,670987,21
24253,50112,58289,1753238,604698,42
21705,46963,58869,51080,19420,48
44692,84916,108943,677296,257451,20
21200,36212,46268,9468,3983,4
24457,49335,60271,25293,9602,31
40415,87430,101268,544426,199904,19
